,OSOURCE,TCODE,STATE,MAILCODE,RECINHSE,RECP3,DOMAIN,WEALTH2,VETERANS,CRAFTS,WALKER,PEPSTRFL,RFA_5,RFA_24,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
562,75.0,28.0,25.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.683373456165155,0.29054920287971675,-0.5365610422329347,-0.3154839421833114,1.155440175662556,0.8936250322242801,-0.3420965791421084,0.26384411590233353,0.13290152768275013,0.409309458606376,0.39270217009310165,0.3286501849828792,-0.08438293388520197
566,62.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,72.0,18.0,0.8099470263683262,-1.6611152160093905,1.0075643034653488,-0.9900710520368499,2.561028345598914,0.2721256677759449,0.18781930959308352,0.28179347009918904,-0.7914167566193341,0.8577427142588017,-0.7039751666762494,0.07689989711517524,-0.0670463028965764
567,32.0,1.0,20.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,-2.706779717177615,-2.0173687737526884,-1.110431969174669,-0.9183027959477341,-0.29340862142853075,0.024350426755684468,0.9669465475209356,-0.8268113125357061,-0.14835282393833005,-1.2903222652982855,1.4384848368724559,-1.254042017273219,0.8733197556106136
607,165.0,1.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11647351203990008,1.4790293383864364,-2.518568403955837,0.5853546438997341,0.9999456078052759,1.6172503589489295,-0.8182180111042573,0.35977318532411373,0.05821127336863292,-1.102069751107559,-1.0327987029793537,0.6643357737957511,0.15113249681300492
616,6.0,0.0,12.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,1.0,1.0,60.0,0.0,-0.40555069526132687,1.184756281684767,1.1808830547054023,0.18579503726222704,0.49892749095843236,0.6627497294045084,-0.9139875864614779,-1.390191406429555,0.1000369185210748,-0.8064423689567575,-0.7472214997144729,-0.5740434004566948,0.23673516084426588
617,87.0,28.0,1.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,1.0,1.0,0.0,18.0,1.304730819060678,-0.3758917351062469,0.13207354007216598,0.1917346602915061,-2.16999749920009,0.06464432674689653,1.2290747737320968,-0.029809317108878738,0.05760862475251572,1.356545620158782,-0.02175742681413605,-0.6269563271934444,-0.9050937124690769
629,168.0,1.0,2.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,224.0,112.0,-3.1889108614205193,0.38607629175487373,0.8356511371227077,-1.3366856716278068,0.6275077380819774,-1.1774918026773766,0.09449436735987049,-0.6890774995573045,1.1743998564511178,-1.3181569167526717,0.08333050907951929,0.17886889542262244,0.2870732702813168
633,45.0,0.0,14.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,224.0,168.0,0.040188516362868056,4.219971043912435,-0.7786151646256595,-1.3936551528672072,1.174061153852177,0.017739333588454698,-0.9885574351354921,-0.3205002764507761,-0.5885423394674627,0.17359949621618906,0.03736479202497272,-0.600658696468769,0.061898636641888896
639,5.0,28.0,33.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,1.0,120.0,8.0,1.0812928410822509,-1.1412831878424374,-0.5247538247659088,1.1936963910487512,-1.4061699502092861,0.6713184164596093,-0.40956115326726583,1.90173227224568,-0.029712151768341428,0.026548988511620186,0.1873004913361788,0.3397860322892406,2.43756753809182
671,19.0,1.0,15.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,60.0,18.0,-0.39855265631574854,-3.581002390473208,0.16723174297034712,0.22833380356490612,1.323824984935315,0.838286965849833,-0.6524138693912521,-0.3459437560804931,-0.034910625939591225,-1.0288395042654042,-0.7088723066047624,-1.7890051045492021,-0.8598350367033969
687,23.0,0.0,26.0,0.0,0.0,0.0,8.0,6.0,1.0,1.0,1.0,0.0,63.0,18.0,0.8055164738267576,2.134179662056627,-0.5727499737053079,-0.6576994717378769,-0.56931187439335,-0.8456557786766087,0.3828221434755817,-0.8003841194279605,-0.8600471652718049,0.7381002689577436,1.0483565158213117,0.041946977787314696,0.6949175221581202
714,87.0,1.0,37.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2302380220029636,0.06377681054008928,-1.3846569452334507,0.6201045038883368,-0.8446782182988584,-0.2790520534246283,-0.19943605290793015,-0.7686264157648468,-1.0871550607862885,0.8673321209423825,-1.248240916155989,0.06280722668293429,-0.010290397781922552
723,78.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,60.0,60.0,0.11760412060532932,-1.4229724458114372,1.9175610921279416,2.347422772838073,1.646260154699461,0.013988523499526548,-0.08914161967708106,-0.35349932801258793,-0.9010833156341846,-0.052373754026528295,-1.0794829750440427,-0.29088816294963143,0.1422319162755569
725,18.0,2.0,16.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1368563628621513,4.336094940733734,-1.1919309136355198,0.5780086206168737,0.865510721895789,1.209454177594484,0.5979798736469097,-0.030227367921119352,0.5359938189572124,-0.25042788738813204,0.7790504800708112,-0.6344249803014668,0.33517670437434405
738,54.0,1002.0,14.0,0.0,0.0,0.0,4.0,7.0,0.0,1.0,0.0,0.0,224.0,168.0,-0.4679036623664843,3.0472872839954923,-0.5636202607059861,-1.4120120629435302,0.3507481242633769,0.6097595103178415,-1.386172403298299,-1.0499147337981347,0.6149172335609555,-0.17044056291842657,-0.4080591467830015,0.33956585016660024,0.6235158727837873
739,45.0,0.0,15.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,32.0,2.2700585968232,1.160919334759896,0.11038571150183797,-1.3174509678909454,0.4831835297840109,0.412784305590583,3.4056962902360897,1.027852079188519,0.16484881224488834,-0.22907928457600324,1.2171488537198574,-0.608145873131218,0.4500540216248319
742,10.0,1.0,9.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,48.0,1.0416217073715566,0.28607542766215327,1.727131505279025,-1.286237492644022,-1.7769966310212002,-0.37293284305778823,1.7959779336454291,-0.4415506146654921,-0.38121743051338314,0.6938266662042034,-0.0024878252841624283,0.04815163010513985,-0.016157928987272002
745,55.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,120.0,0.0,3.841772719085247,-0.4710769777959449,-0.41387705437927175,-0.6173434264771421,-1.2494077838408637,-0.6368698682229076,-0.5691193217022005,0.5791315749830482,-0.6638141202004236,-1.089765117988,1.905244300310172,0.24634786034988998,-0.4508737156731972
750,26.0,2.0,3.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,1.7724489693116503,0.412153245680201,0.40769340983902963,-0.13818985892471267,-0.45391526860365844,0.22533853852907723,1.3192505788407705,-0.009909946437811892,-0.5075931061842012,0.6265987976803326,-0.2546364110194354,0.3612347518901434,-0.48761964041990563
764,15.0,0.0,1.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,20.0,8.0,1.220665896432317,-2.1579906159897537,0.9814755814816668,1.1187910084115202,1.3539388811622033,-0.025901967850144782,-0.3172977514943051,0.088854492930446,0.32068688286142016,1.0729831458396184,0.6434106414263911,-0.13418722696290097,-0.10632890739427732
779,37.0,1.0,1.0,0.0,1.0,0.0,4.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.3887951135754531,2.139983300599697,-0.013010561750724394,0.6047719234707828,3.1594386511209387,-2.0157852338441686,4.4428201742981095,0.5963641148502742,1.186103664275873,-0.1606719413333609,-0.9550211858887312,1.2284124609638774,-0.133304366270962
782,63.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2108105183866673,-0.36748103685236655,-2.394634087349351,0.7337888927384122,2.3447485579698055,-1.1692108246649555,-0.29249945313380643,1.481995047073065,1.659085421645258,1.465528954454116,-3.3527443909088697,-1.4257916755019007,-0.15680578132754144
794,32.0,0.0,14.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,1.7290264016938142,1.5217319782500829,2.373388850560036,-0.062157643446206404,-3.2006041707148287,-1.0684028472655687,-0.5478146169876049,0.9401667982800794,-0.13082278375782114,-0.4484443729065146,0.1198521356246701,0.022428654759220044,-0.018747745708821643
802,187.0,0.0,17.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,1.0,20.0,8.0,1.5546343010766137,-2.320208095045223,-2.3662663144385734,0.12927599143526017,-1.661865630174504,0.0103682311965153,-1.1105425725065319,-1.104288589629288,-0.23493705649708027,-1.608688500101424,-0.17779668593936526,-0.682269614867055,-0.01776156530706235
835,193.0,0.0,18.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,42.0,-2.528853201955925,2.1783730470287193,0.8349764257156481,0.011187316038745775,-0.9978888926183885,-3.2386722821910627,0.3022674076767075,0.44719989583974196,0.49364587050223135,0.42035788935849383,0.5679341688801882,1.8152210305060594,-0.6177469437254397
901,201.0,0.0,12.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,84.0,-2.6495449417285024,-0.8836881837504283,0.8211243641165619,0.03595376945093619,0.22168385832055454,0.7084011640058807,-0.6577209964038302,1.5159318312540815,0.11103963810850367,0.4795238549992901,0.25693545167483045,0.07180854488906353,2.1602212755820145
916,6.0,0.0,15.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,48.0,-1.7509629758031988,0.061381605826916846,-0.17964780273233993,-0.08431407426669114,0.00628024578659892,-2.158998440157075,1.2690473487368255,-0.5311178970279613,0.07375643822516438,-0.2765517276723757,-0.7085920532188058,-0.4662963201457527,-0.058809508817268395
920,54.0,2.0,2.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,63.0,63.0,-1.9262309175398502,0.737783634909116,0.46107352392258605,-0.3241473626280406,1.483696037037918,-0.5355032251363215,-1.2157382564203418,0.14864732412790252,-1.4281627335736256,0.32982873608416374,0.04984182697953062,-0.6729263568691887,0.3206314718268785
944,27.0,0.0,12.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,42.0,18.0,-3.9724021722879335,-0.3198651914577558,0.655784575749439,-0.2075721265070035,0.5579232720830694,0.7315512531979261,-0.9781584019926383,0.28943374453538917,-0.2190989922122437,0.17882291925535376,0.00821592219351703,-0.9118571828567174,0.4148280435607577
946,32.0,0.0,17.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,224.0,-8.065237945095351,3.0197876201493776,1.86299310684322,0.28483012864676444,-0.387755309077511,0.09846628473470835,4.754658554076893,2.025013255115512,-2.607867733703181,0.40128618774550884,-0.8775728787502065,0.20053410227225735,-1.647763867741176
978,15.0,1.0,17.0,0.0,1.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,-3.0974602375709908,1.577484468489718,-1.401996905729314,0.1550549153291972,-1.8807209544492896,0.589622003404255,-1.196992188674975,-1.6827165950109613,0.474930888366514,0.7209556057469256,-1.2929391165163022,-1.921995941586846,-0.1378180069271732
1000,38.0,0.0,3.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,32.0,2.941650851497751,1.4014951776701494,0.7433350683257298,-0.8237591701803035,-1.012488239574285,-1.0545332306207544,1.0651236139320188,0.3961952893585242,-0.982506194008308,0.37640855386808064,-0.4491302276506867,-0.27364316269598193,-0.2720609700306135
1004,87.0,28.0,3.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,1.0,0.0,45.0,1.3609105387664746,0.3097493621422539,-1.121715899821033,0.0005080545616983979,0.9901139074902976,0.5937613770759043,-0.5333591432935011,-0.7496798324009915,-0.2730025695846407,1.1062650106799983,0.17285523308705414,-0.5201450806412108,-0.08551513861352165
1025,168.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5940452475521156,0.6306495172139305,1.9336665393072463,-0.34556773941337615,2.3914001273446295,-0.18434860705763975,-1.6259189569141692,1.423216864656132,-1.2363551691381278,0.6931969758083653,-0.12168302235247905,-1.172229972588181,-0.7938062109043664
1052,54.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,60.0,42.0,0.00023982069508127153,0.14365643721570687,3.116454177563166,-0.8587555418079881,2.3883858931757724,0.5676210320127985,-0.21175022591970172,-0.025551730374113752,0.2413087612531422,1.9351076469832542,-2.324014993696671,-0.15728410431317547,0.059353966571604085
1092,121.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,84.0,48.0,0.7511365462794344,-1.069941182096019,-2.0735396664450376,-0.44302385199176275,-1.3863055114433518,1.0981539310754482,0.13443218750695976,0.027191714415623618,-0.07705223506093116,0.5149992145412361,-1.2301957479198584,0.2922564434996448,-1.2323639183214947
1230,15.0,0.0,29.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,224.0,40.0,1.9682198082825384,-1.249365063343548,-4.255564642253969,1.3400774629726286,0.21952002822037744,0.18305820442647464,-1.010829257978554,0.27231952496129613,-1.9049090756999991,-0.49907006880744237,0.909590445574933,-0.6125549300602976,-1.4303650894495061
1233,54.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,224.0,160.0,1.1932780805665157,2.3631832855973247,2.4279470329175985,-2.1701534965796854,1.782351979246642,0.0018052074363852633,-2.7920564046451872,-0.11726769836064317,-0.12211684992333655,-0.5154604282624667,0.6589792724875119,0.33687989829489373,0.4169276400234022
1269,6.0,2.0,15.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,42.0,63.0,-3.0213737866601695,1.7628325073984437,0.11403027182130895,-0.26938889899792207,2.8730304243838014,0.76418670303786,-1.152006438349626,-0.8064883728537904,-0.08910790941838964,-0.8336331042608772,-0.8394591289277024,-0.41830895600305623,0.4472056316108213
1295,27.0,0.0,4.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,18.0,-0.67114310297499,-0.5799590339730313,0.07856511411157487,0.3931604681976885,1.261435038104536,-1.6243528048101958,1.7527651312488435,-0.13158312354306562,0.539914662602887,0.016638818512994837,-0.7922027144798505,1.864576242152921,-0.6566482986216099
1296,81.0,1.0,39.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,36.0,8.0,-0.4659686644801483,-2.823351153974633,-6.2940335603345705,1.1172409809544592,0.9872809188391021,-0.8587787593382669,1.496990664327376,-1.263869653030409,-4.239215587407165,1.7940813025142306,-0.15566169867543567,4.428746226041113,1.9233623410704563
1347,48.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,224.0,40.0,3.960622378892694,-0.7701304340442202,4.410182887345223,3.0177352123129033,-0.25826268997651786,0.44085765014047923,-0.04635538072693544,0.24355456427699645,0.696333212714318,-0.5467369379504774,-0.6743168480590175,0.5161507067178526,0.4094816287850182
1355,4.0,0.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,192.0,48.0,-4.865403092535563,-0.8691598926592814,0.890825917411079,-0.9048589983855706,-1.2989606623587335,0.20213321480370866,2.448763934729845,2.029179247010489,-1.5786185125985484,-0.37108133304185825,-0.17241807129013265,-0.2128430296271961,-0.7622483591800678
1412,93.0,1.0,18.0,0.0,0.0,0.0,4.0,9.0,1.0,0.0,0.0,1.0,60.0,8.0,0.14343672856064768,-3.1167934018335357,1.9550986085773836,-0.39292164935294055,1.8175964545390495,1.1684979501436366,-0.43888530135395976,-0.7418178334454167,0.872388766664856,2.033370805866889,0.3565495939884301,0.1194485550414313,0.3428236789677377
1422,36.0,0.0,11.0,1.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,84.0,84.0,-1.398164170062016,3.7739028330476203,-0.7368744345516023,0.2905422875606903,-2.231521556083242,0.025230995698684467,-0.44794179859476096,0.9684105548988118,-0.002606292000508783,-0.4035518554852169,0.6842999126594773,-1.4427048245309266,-0.8496005108466789
